fold,mode,accuracy,sensitivity,specificity
1,train,0.993,0.993,0.99825
1,test,0.974,0.974,0.9935
2,train,0.9985,0.9984999999999999,0.999625
2,test,0.959,0.959,0.9897499999999999
3,train,0.99425,0.9942499999999999,0.9985624999999999
3,test,0.968,0.968,0.992
4,train,0.99175,0.99175,0.9979374999999999
4,test,0.979,0.9789999999999999,0.99475
5,train,0.9925,0.9925,0.9981249999999999
5,test,0.973,0.9730000000000001,0.9932500000000001
